ENSG00000223972.5	chr1:11869
ENSG00000269896.2	chr1:2352820
ENSG00000272420.1	chr1:2363628
ENSG00000157916.19	chr1:2391775
ENSG00000157911.9	chr1:2413797
ENSG00000149527.17	chr1:2425980
ENSG00000224387.1	chr1:2493258
ENSG00000229393.1	chr1:2494479
ENSG00000157881.13	chr1:2526628
ENSG00000197921.5	chr1:2530245
ENSG00000272449.1	chr1:2546465
ENSG00000238164.6	chr1:2557031
ENSG00000157873.17	chr1:2555639
ENSG00000225931.3	chr1:2566410
ENSG00000228037.1	chr1:2581560
ENSG00000157870.14	chr1:2586491
ENSG00000142606.15	chr1:2632990
ENSG00000237058.1	chr1:2632568
ENSG00000215912.12	chr1:2801717
ENSG00000283259.1	chr1:2773603
ENSG00000233234.1	chr1:2812692
ENSG00000231630.1	chr1:2814998
ENSG00000169717.6	chr1:3021483
ENSG00000177133.10	chr1:3068437
ENSG00000142611.16	chr1:3069168
ENSG00000283572.1	chr1:3127975
ENSG00000226286.1	chr1:3133709
ENSG00000279839.1	chr1:3205988
ENSG00000272235.1	chr1:3310096
ENSG00000130762.14	chr1:3454426
ENSG00000272088.1	chr1:3487246
ENSG00000162591.15	chr1:3611495
ENSG00000207776.1	chr1:3560790
ENSG00000238260.1	chr1:3624743
ENSG00000158109.14	chr1:3625002
ENSG00000116213.15	chr1:3652761
ENSG00000078900.14	chr1:3652520
ENSG00000227589.1	chr1:3668772
ENSG00000235131.1	chr1:3714298
ENSG00000227372.11	chr1:3747336
ENSG00000276189.1	chr1:3736943
ENSG00000162592.9	chr1:3746460
ENSG00000235169.7	chr1:3772788
ENSG00000130764.9	chr1:3796504
ENSG00000266075.2	chr1:3782815
ENSG00000272153.1	chr1:3785008
ENSG00000116198.12	chr1:3857214
ENSG00000169598.15	chr1:3857267
ENSG00000198912.10	chr1:3900293
ENSG00000236423.5	chr1:3900372
ENSG00000233304.6	chr1:3940565
ENSG00000226374.2	chr1:3948980
ENSG00000229280.1	chr1:4175899
ENSG00000235054.3	chr1:4412027
ENSG00000227169.2	chr1:4552145
ENSG00000232596.2	chr1:4571481
ENSG00000196581.10	chr1:4654732
ENSG00000231510.1	chr1:5090899
ENSG00000260972.1	chr1:5492978
ENSG00000283356.1	chr1:5554747
ENSG00000236948.2	chr1:5668295
ENSG00000264341.1	chr1:5564071
ENSG00000264101.1	chr1:5862741
ENSG00000131697.17	chr1:5992473
ENSG00000069424.14	chr1:5991466
ENSG00000116254.17	chr1:6180123
ENSG00000116251.9	chr1:6209389
ENSG00000226944.1	chr1:6205780
ENSG00000158286.12	chr1:6205475
ENSG00000116237.15	chr1:6235972
ENSG00000225077.2	chr1:6236240
ENSG00000173673.7	chr1:6244192
ENSG00000158292.6	chr1:6260975
ENSG00000097021.19	chr1:6394391
ENSG00000271746.1	chr1:6393555
ENSG00000069812.11	chr1:6424670
ENSG00000187017.15	chr1:6424788
ENSG00000265392.1	chr1:6429896
ENSG00000231868.1	chr1:6447006
ENSG00000215788.9	chr1:6466195
ENSG00000171680.21	chr1:6520061
ENSG00000162408.10	chr1:6554535
ENSG00000253022.1	chr1:6540854
ENSG00000229519.2	chr1:6547905
ENSG00000173662.20	chr1:6555181
ENSG00000204859.12	chr1:6580001
ENSG00000162413.16	chr1:6614607
ENSG00000116273.5	chr1:6613685
ENSG00000041988.15	chr1:6624866
ENSG00000007923.15	chr1:6701924
ENSG00000228750.6	chr1:6724637
ENSG00000237436.1	chr1:6784843
ENSG00000171735.18	chr1:6785324
ENSG00000227950.1	chr1:6834618
ENSG00000237365.1	chr1:7014279
ENSG00000207056.1	chr1:7219360
ENSG00000237402.1	chr1:7368942
ENSG00000237728.2	chr1:7389754
ENSG00000225126.1	chr1:7441554
ENSG00000270171.1	chr1:7694844
ENSG00000270035.1	chr1:7698872
ENSG00000269978.1	chr1:7700970
ENSG00000049245.12	chr1:7771269
ENSG00000269925.1	chr1:7776383
ENSG00000049246.14	chr1:7784320
ENSG00000236266.1	chr1:7827342
ENSG00000049247.13	chr1:7853512
ENSG00000049249.8	chr1:7943165
ENSG00000270330.1	chr1:7942372
ENSG00000116288.12	chr1:7954291
ENSG00000200344.1	chr1:7982983
ENSG00000116285.12	chr1:8026308
ENSG00000238290.1	chr1:8026738
ENSG00000232848.1	chr1:8058463
ENSG00000229305.1	chr1:8189824
ENSG00000227634.2	chr1:8202429
ENSG00000200975.1	chr1:8206597
ENSG00000233645.1	chr1:8220529
ENSG00000251977.1	chr1:8292263
ENSG00000162426.14	chr1:8317826
ENSG00000252254.1	chr1:8328067
ENSG00000142599.17	chr1:8817643
ENSG00000232912.5	chr1:8424645
ENSG00000221083.1	chr1:8511919
ENSG00000270282.1	chr1:8512653
ENSG00000234619.1	chr1:8750430
ENSG00000224315.2	chr1:8786913
ENSG00000222511.2	chr1:8796673
ENSG00000226545.1	chr1:8798475
ENSG00000228423.2	chr1:8807051
ENSG00000229716.2	chr1:8831007
ENSG00000074800.13	chr1:8879249
ENSG00000274258.1	chr1:8866590
ENSG00000236269.1	chr1:8878007
ENSG00000230679.1	chr1:8878835
ENSG00000201725.1	chr1:8883533
ENSG00000238249.2	chr1:8893409
ENSG00000232208.2	chr1:8907744
ENSG00000232663.2	chr1:8909742
ENSG00000131686.14	chr1:8945867
ENSG00000265141.2	chr1:8979874
ENSG00000197241.3	chr1:9026345
ENSG00000142583.17	chr1:9088478
ENSG00000252404.1	chr1:9082696
ENSG00000180758.11	chr1:9129170
ENSG00000228526.6	chr1:9196983
ENSG00000284357.1	chr1:9151777
ENSG00000234546.3	chr1:9182004
ENSG00000281937.1	chr1:9198906
ENSG00000049239.12	chr1:9234775
ENSG00000171621.13	chr1:9292880
ENSG00000252956.1	chr1:9437778
ENSG00000235263.1	chr1:9503471
ENSG00000171612.6	chr1:9539482
ENSG00000231181.1	chr1:9576427
ENSG00000188807.12	chr1:9588922
ENSG00000171608.15	chr1:9651732
ENSG00000179840.5	chr1:9654586
ENSG00000233268.3	chr1:9662626
ENSG00000231789.2	chr1:9687555
ENSG00000171603.16	chr1:9824526
ENSG00000271264.1	chr1:9780822
ENSG00000280113.2	chr1:9828271
ENSG00000178585.14	chr1:9910336
ENSG00000223989.1	chr1:9848318
ENSG00000162441.11	chr1:9943407
ENSG00000228150.1	chr1:9942923
ENSG00000173614.13	chr1:9943428
ENSG00000202415.1	chr1:9947318
ENSG00000283611.1	chr1:9960832
ENSG00000265521.1	chr1:9967381
ENSG00000241326.1	chr1:9983141
ENSG00000162444.11	chr1:9997206
ENSG00000130939.18	chr1:10032832
ENSG00000224340.1	chr1:10054781
ENSG00000233623.2	chr1:10058671
ENSG00000201746.1	chr1:10163268
ENSG00000054523.17	chr1:10210805
ENSG00000264881.1	chr1:10227718
ENSG00000199562.1	chr1:10298966
ENSG00000264501.2	chr1:10306465
ENSG00000142657.20	chr1:10398592
ENSG00000271989.1	chr1:10430677
ENSG00000251503.8	chr1:10430102
ENSG00000175279.21	chr1:10430443
ENSG00000241563.3	chr1:10449719
ENSG00000160049.11	chr1:10472526
ENSG00000203469.2	chr1:10458555
ENSG00000142655.12	chr1:10472288
ENSG00000243267.3	chr1:10616836
ENSG00000130940.14	chr1:10796650
ENSG00000272078.1	chr1:10639241
ENSG00000225158.2	chr1:10895761
ENSG00000175262.14	chr1:10982037
ENSG00000215785.2	chr1:10991797
ENSG00000120948.16	chr1:11012344
ENSG00000277726.4	chr1:11012662
ENSG00000009724.16	chr1:11047233
ENSG00000271895.2	chr1:11029659
ENSG00000116649.9	chr1:11060024
ENSG00000171824.13	chr1:11099881
ENSG00000226849.1	chr1:11068471
ENSG00000230337.1	chr1:11099675
ENSG00000198793.12	chr1:11262507
ENSG00000225602.5	chr1:11143898
ENSG00000253086.1	chr1:11152350
ENSG00000171819.4	chr1:11189341
ENSG00000207451.1	chr1:11226254
ENSG00000238173.1	chr1:11232963
ENSG00000120942.13	chr1:11273206
ENSG00000238199.1	chr1:11279351
ENSG00000224338.2	chr1:11425821
ENSG00000204624.7	chr1:11479166
ENSG00000235643.1	chr1:11609531
ENSG00000116661.9	chr1:11655785
ENSG00000132879.13	chr1:11654375
ENSG00000116663.10	chr1:11664124
ENSG00000116670.14	chr1:11691650
ENSG00000162490.6	chr1:11691729
ENSG00000177674.15	chr1:11736084
ENSG00000215910.7	chr1:11761787
ENSG00000177553.6	chr1:11779619
ENSG00000177000.10	chr1:11806920
ENSG00000011021.21	chr1:11806096
ENSG00000242349.5	chr1:11841017
ENSG00000276470.1	chr1:11843812
ENSG00000278852.1	chr1:11845549
ENSG00000175206.10	chr1:11848345
ENSG00000275915.1	chr1:11847442
ENSG00000120937.8	chr1:11858931
ENSG00000224904.1	chr1:11877770
ENSG00000199347.1	chr1:11908152
ENSG00000201801.1	chr1:11909927
ENSG00000116685.15	chr1:11926428
ENSG00000083444.16	chr1:11934205
ENSG00000116688.16	chr1:11980181
ENSG00000270914.1	chr1:12017308
ENSG00000116691.10	chr1:12019466
ENSG00000202461.1	chr1:12024124
ENSG00000276869.1	chr1:12029158
ENSG00000243539.3	chr1:12037014
ENSG00000120949.14	chr1:12063377
ENSG00000201135.1	chr1:12077984
ENSG00000227875.2	chr1:12080547
ENSG00000283789.1	chr1:12166943
ENSG00000028137.18	chr1:12167003
ENSG00000263676.1	chr1:12191713
ENSG00000225196.2	chr1:12221109
ENSG00000252969.1	chr1:12221271
ENSG00000048707.13	chr1:12230067
ENSG00000239149.1	chr1:12507246
ENSG00000229484.1	chr1:12527724
ENSG00000162496.8	chr1:12617731
ENSG00000221340.1	chr1:12570072
ENSG00000276830.1	chr1:12579023
ENSG00000272482.1	chr1:12619244
ENSG00000204518.2	chr1:12644547
ENSG00000226166.2	chr1:12692909
ENSG00000188984.11	chr1:12716115
ENSG00000157330.9	chr1:12746215
ENSG00000116726.4	chr1:12774841
ENSG00000116721.9	chr1:12791397
ENSG00000228338.1	chr1:12823159
ENSG00000239810.3	chr1:12831410
ENSG00000231103.2	chr1:12841357
ENSG00000179172.9	chr1:12848725
ENSG00000120952.4	chr1:12857086
ENSG00000243073.3	chr1:12886201
ENSG00000187545.5	chr1:12898270
ENSG00000204510.5	chr1:12916610
ENSG00000207434.1	chr1:12922554
ENSG00000234064.1	chr1:12926162
ENSG00000232423.6	chr1:12947580
ENSG00000274178.2	chr1:13029339
ENSG00000274764.5	chr1:13056491
ENSG00000277058.2	chr1:13060869
ENSG00000229571.7	chr1:13068677
ENSG00000277862.1	chr1:13097971
ENSG00000236179.1	chr1:13105689
ENSG00000275774.2	chr1:13116854
ENSG00000229978.1	chr1:13128818
ENSG00000233336.1	chr1:13147460
ENSG00000280267.4	chr1:13155961
ENSG00000179412.10	chr1:13165467
ENSG00000204505.4	chr1:13172455
ENSG00000279169.2	chr1:13201409
ENSG00000279804.2	chr1:13226106
ENSG00000250894.1	chr1:13245863
ENSG00000270601.4	chr1:13254212
ENSG00000231219.1	chr1:13275627
ENSG00000207511.1	chr1:13279231
ENSG00000182330.10	chr1:13285174
ENSG00000237700.2	chr1:13303539
ENSG00000204501.7	chr1:13315581
ENSG00000228229.2	chr1:13324039
ENSG00000204481.7	chr1:13347134
ENSG00000204480.7	chr1:13371693
ENSG00000204479.4	chr1:13389632
ENSG00000204478.9	chr1:13410450
ENSG00000162494.5	chr1:13514048
ENSG00000259961.1	chr1:13513220
ENSG00000215909.3	chr1:13555001
ENSG00000162493.16	chr1:13583465
ENSG00000222952.1	chr1:13623284
ENSG00000237445.2	chr1:13659910
ENSG00000253085.1	chr1:13696199
ENSG00000116731.22	chr1:13700198
ENSG00000189337.16	chr1:13892792
ENSG00000252151.1	chr1:14124335
ENSG00000231606.1	chr1:14223118
ENSG00000234593.2	chr1:14391575
ENSG00000235829.1	chr1:14692613
ENSG00000175147.11	chr1:15152464
ENSG00000171729.13	chr1:15152532
ENSG00000204464.7	chr1:15171317
ENSG00000215720.4	chr1:15192845
ENSG00000278480.1	chr1:15226373
ENSG00000142621.19	chr1:15247272
ENSG00000233485.1	chr1:15343876
ENSG00000236045.1	chr1:15335464
ENSG00000228140.1	chr1:15409433
ENSG00000142634.12	chr1:15409895
ENSG00000162438.11	chr1:15438439
ENSG00000142615.7	chr1:15456728
ENSG00000215704.9	chr1:15465909
ENSG00000132906.17	chr1:15526534
ENSG00000116138.12	chr1:15526813
ENSG00000251866.1	chr1:15542165
ENSG00000272510.1	chr1:15565956
ENSG00000116771.5	chr1:15585110
ENSG00000237301.1	chr1:15603626
ENSG00000235084.3	chr1:15604597
ENSG00000252417.1	chr1:15608145
ENSG00000236500.1	chr1:15614867
ENSG00000197312.11	chr1:15617500
ENSG00000215695.1	chr1:15659869
ENSG00000271742.1	chr1:15683128
ENSG00000116786.11	chr1:15684332
ENSG00000237938.5	chr1:15736896
ENSG00000162461.7	chr1:15736405
ENSG00000224459.1	chr1:15749896
ENSG00000162460.6	chr1:15742422
ENSG00000162458.12	chr1:15756607
ENSG00000224321.1	chr1:15792796
ENSG00000233954.6	chr1:15809348
ENSG00000178715.8	chr1:15828232
ENSG00000179743.4	chr1:15848147
ENSG00000065526.10	chr1:15847864
ENSG00000270620.1	chr1:15917908
ENSG00000116809.11	chr1:15976132
ENSG00000234607.2	chr1:15969632
ENSG00000231353.1	chr1:15988182
ENSG00000275503.1	chr1:15989375
ENSG00000224966.4	chr1:15989871
ENSG00000183888.4	chr1:16004236
ENSG00000233078.1	chr1:16006671
ENSG00000173641.17	chr1:16019594
ENSG00000186510.11	chr1:16018875
ENSG00000232456.1	chr1:16040029
ENSG00000184908.17	chr1:16043736
ENSG00000185519.8	chr1:16073632
ENSG00000142627.12	chr1:16156087
ENSG00000227959.1	chr1:16155211
ENSG00000224621.1	chr1:16159266
ENSG00000234166.1	chr1:16197854
ENSG00000142632.16	chr1:16212609
ENSG00000237276.8	chr1:16228027
ENSG00000132881.11	chr1:16237162
ENSG00000233929.1	chr1:16241398
ENSG00000037637.10	chr1:16352454
ENSG00000055070.16	chr1:16352575
ENSG00000226457.1	chr1:16369530
ENSG00000187144.11	chr1:16437424
ENSG00000157191.19	chr1:16440672
ENSG00000226029.1	chr1:16460948
ENSG00000080947.14	chr1:16499257
ENSG00000206652.1	chr1:16514285
ENSG00000261135.1	chr1:16514645
ENSG00000224174.2	chr1:16520694
ENSG00000233421.4	chr1:16536172
ENSG00000277344.1	chr1:16534224
ENSG00000268991.2	chr1:16539066
ENSG00000225710.1	chr1:16552531
ENSG00000219481.10	chr1:16613562
ENSG00000271732.1	chr1:16617391
ENSG00000215908.10	chr1:16657232
ENSG00000283773.1	chr1:16643109
ENSG00000186301.8	chr1:16645622
ENSG00000282143.1	chr1:16656879
ENSG00000207513.1	chr1:16666948
ENSG00000237847.2	chr1:16673003
ENSG00000280114.1	chr1:16688749
ENSG00000236698.1	chr1:16686055
ENSG00000268869.5	chr1:16720157
ENSG00000279151.1	chr1:16701546
ENSG00000279132.2	chr1:16734461
ENSG00000282740.1	chr1:16750589
ENSG00000058453.16	chr1:16740273
ENSG00000227684.2	chr1:16740280
ENSG00000207389.1	chr1:16740516
ENSG00000186715.10	chr1:16770237
ENSG00000223643.6	chr1:16853129
ENSG00000230239.1	chr1:16855407
ENSG00000263811.1	chr1:16859021
ENSG00000228549.3	chr1:16870945
ENSG00000277234.1	chr1:16873708
ENSG00000238142.1	chr1:16889649
ENSG00000235241.1	chr1:16889095
ENSG00000207005.1	chr1:16895980
ENSG00000272426.1	chr1:16904776
ENSG00000117122.13	chr1:16980835
ENSG00000226526.1	chr1:16978926
ENSG00000159363.17	chr1:17011928
ENSG00000117118.9	chr1:17054170
ENSG00000117115.12	chr1:17119435
ENSG00000204362.6	chr1:17189783
ENSG00000282843.1	chr1:17201733
ENSG00000142623.9	chr1:17205126
ENSG00000142619.4	chr1:17249098
ENSG00000266634.1	chr1:17277889
ENSG00000159339.13	chr1:17308195
ENSG00000276747.1	chr1:17372196
ENSG00000227751.1	chr1:17406760
ENSG00000179051.13	chr1:17439724
ENSG00000074964.16	chr1:17539835
ENSG00000236648.1	chr1:17717687
ENSG00000117148.7	chr1:17755313
ENSG00000261781.1	chr1:18065657
ENSG00000117154.11	chr1:18107746
ENSG00000280222.1	chr1:18109389
ENSG00000230035.2	chr1:18179346
ENSG00000225387.1	chr1:18385829
ENSG00000179023.8	chr1:18480982
ENSG00000235282.3	chr1:18513118
ENSG00000225478.2	chr1:18595414
ENSG00000009709.11	chr1:18631006
ENSG00000179002.5	chr1:18859682
ENSG00000255275.3	chr1:18921121
ENSG00000159423.16	chr1:18902781
ENSG00000265606.1	chr1:18883275
ENSG00000221662.1	chr1:18897148
ENSG00000169991.10	chr1:18956686
ENSG00000272084.1	chr1:19075511
ENSG00000127481.14	chr1:19210276
ENSG00000230424.1	chr1:19210501
ENSG00000127463.13	chr1:19251552
ENSG00000053372.4	chr1:19251539
ENSG00000211454.13	chr1:19274194
ENSG00000162482.4	chr1:19289250
ENSG00000270728.1	chr1:19297080
ENSG00000053371.12	chr1:19312146
ENSG00000200403.1	chr1:19305182
ENSG00000040487.12	chr1:19312326
ENSG00000077549.17	chr1:19485539
ENSG00000240490.3	chr1:19424384
ENSG00000201609.1	chr1:19510593
ENSG00000235185.1	chr1:19596832
ENSG00000173436.13	chr1:19596977
ENSG00000270136.5	chr1:19596979
ENSG00000226396.1	chr1:19608114
ENSG00000158747.13	chr1:19640554
ENSG00000158748.3	chr1:19665287
ENSG00000162542.13	chr1:19799945
ENSG00000178828.6	chr1:19815278
ENSG00000235434.1	chr1:19814367
ENSG00000169914.5	chr1:19882513
ENSG00000188784.4	chr1:19923617
ENSG00000242688.3	chr1:19970969
ENSG00000188257.10	chr1:19980416
ENSG00000127472.10	chr1:20028179
ENSG00000117215.14	chr1:20119566
ENSG00000158786.4	chr1:20139326
ENSG00000227066.1	chr1:20154338
ENSG00000187980.6	chr1:20177424
ENSG00000225986.1	chr1:20186486
ENSG00000162543.5	chr1:20186085
ENSG00000228105.1	chr1:20243095
ENSG00000158816.15	chr1:20290919
ENSG00000226664.1	chr1:20323187
ENSG00000236963.6	chr1:20431234
ENSG00000226487.1	chr1:20413253
ENSG00000162545.5	chr1:20486220
ENSG00000090432.6	chr1:20508161
ENSG00000215520.3	chr1:20525989
ENSG00000183114.7	chr1:20552439
ENSG00000158825.5	chr1:20588948
ENSG00000158828.7	chr1:20633455
ENSG00000284005.1	chr1:20633679
ENSG00000117242.7	chr1:20652193
ENSG00000244038.9	chr1:20661544
ENSG00000117245.12	chr1:20718017
ENSG00000235432.1	chr1:20694013
ENSG00000189410.11	chr1:20732837
ENSG00000233069.1	chr1:20732880
ENSG00000127483.17	chr1:20787323
ENSG00000075151.20	chr1:21176888
ENSG00000251914.1	chr1:20841241
ENSG00000221808.1	chr1:20988432
ENSG00000233072.1	chr1:21003934
ENSG00000236073.2	chr1:21073753
ENSG00000235112.1	chr1:21161475
ENSG00000117298.14	chr1:21345504
ENSG00000236936.1	chr1:21266082
ENSG00000231105.1	chr1:21293290
ENSG00000236216.5	chr1:21397987
ENSG00000228823.1	chr1:21413293
ENSG00000236009.1	chr1:21415898
ENSG00000227001.3	chr1:21427967
ENSG00000187952.9	chr1:21428303
ENSG00000186543.7	chr1:21434318
ENSG00000142794.18	chr1:21440128
ENSG00000176378.8	chr1:21460082
ENSG00000162551.13	chr1:21509372
ENSG00000233431.1	chr1:21586472
ENSG00000076864.19	chr1:21669363
ENSG00000090686.15	chr1:21783606
ENSG00000231978.2	chr1:21768269
ENSG00000187942.11	chr1:21812265
ENSG00000142798.17	chr1:21937297
ENSG00000232037.3	chr1:21908098
ENSG00000283234.1	chr1:21956871
ENSG00000219073.7	chr1:21977021
ENSG00000273610.1	chr1:21987481
ENSG00000201919.1	chr1:21987816
ENSG00000142789.19	chr1:22001656
ENSG00000278124.1	chr1:22010650
ENSG00000201273.1	chr1:22010985
ENSG00000228397.2	chr1:22026048
ENSG00000218510.6	chr1:22024531
ENSG00000070831.15	chr1:22052627
ENSG00000230068.2	chr1:22059197
ENSG00000271428.1	chr1:22068827
ENSG00000271840.1	chr1:22100613
ENSG00000162552.14	chr1:22143969
ENSG00000266564.1	chr1:22266239
ENSG00000234397.3	chr1:22323331
ENSG00000279625.1	chr1:22366482
ENSG00000184677.16	chr1:22451851
ENSG00000237200.1	chr1:22517474
ENSG00000070886.11	chr1:22563564
ENSG00000276835.2	chr1:22633366
ENSG00000173372.16	chr1:22636506
ENSG00000159189.11	chr1:22643630
ENSG00000173369.15	chr1:22652762
ENSG00000133216.16	chr1:22710839
ENSG00000265422.1	chr1:22719517
ENSG00000225952.1	chr1:22836849
ENSG00000264014.1	chr1:22863226
ENSG00000215906.8	chr1:22965338
ENSG00000227868.5	chr1:23015850
ENSG00000004487.15	chr1:23019448
ENSG00000240553.1	chr1:23088058
ENSG00000263793.1	chr1:23044305
ENSG00000266802.1	chr1:23057934
ENSG00000169641.13	chr1:23177808
ENSG00000229010.1	chr1:23140325
ENSG00000206935.1	chr1:23162704
ENSG00000252578.1	chr1:23163953
ENSG00000179546.4	chr1:23194729
ENSG00000215381.3	chr1:23244765
ENSG00000261326.2	chr1:23286752
ENSG00000125944.18	chr1:23344336
ENSG00000125945.14	chr1:23369442
ENSG00000249087.6	chr1:23368997
ENSG00000201405.1	chr1:23370254
ENSG00000271420.1	chr1:23379029
ENSG00000204219.9	chr1:23424740
ENSG00000232482.2	chr1:23410832
ENSG00000088280.18	chr1:23484568
ENSG00000007968.6	chr1:23531220
ENSG00000235052.1	chr1:23550915
ENSG00000117318.8	chr1:23559794
ENSG00000197880.8	chr1:23581495
ENSG00000229239.2	chr1:23670294
ENSG00000142676.12	chr1:23691779
ENSG00000011007.12	chr1:23743155
ENSG00000236810.5	chr1:23778287
ENSG00000057757.9	chr1:23778405
ENSG00000011009.10	chr1:23790970
ENSG00000117308.14	chr1:23800804
ENSG00000117305.14	chr1:23838620
ENSG00000179163.11	chr1:23868294
ENSG00000188822.7	chr1:23913362
ENSG00000229106.1	chr1:23902737
ENSG00000232557.3	chr1:23907111
ENSG00000264926.1	chr1:23929070
